"case_id","source_type","category","source_name","source_url","accessed_at","original_text","surrounding_context","collection_notes","duplicate_group","expected_class","expected_risk_range","label_confidence","label_reason"
"RW034","public_ad","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","성적 향상 가능","안내 페이지가 허용 가능하다고 제시한 완화 표현.","실제 공개 본문 확인(L25-27).","education_soft_claim","safe","0-19","high","성과를 보장하지 않고 가능성으로 제한한다."
"RW035","public_ad","legal_admin","다음뉴스·조선일보","https://v.daum.net/v/20260513144503154?f=p","2026-07-18","구속영장 사건은 영장 전담 판사 출신이 직접 진행한다","법무법인의 온라인 광고 문구.","실제 공개 기사 본문 확인(L64).","legal_influence","ambiguous","20-79","medium","판사 경력과 직접 진행 사실만으로 결과 영향력 암시 여부를 단정하기 어려워 주변 광고 문맥이 필요하다."
"RW036","public_ad","legal_admin","다음뉴스·조선일보","https://v.daum.net/v/20260513144503154?f=p","2026-07-18","우리가 제일 잘한다","법무법인 블로그 홍보 문구.","실제 공개 기사 본문 확인(L64).","legal_superlative","ambiguous","20-79","medium","‘제일 잘한다’는 비교 대상과 근거를 확인해야 하는 주관적 최상급 표현이다."
"RW037","public_ad","legal_admin","다음뉴스·조선일보","https://v.daum.net/v/20260513144503154?f=p","2026-07-18","소속 변호사들이 무료 상담을 진행할 수 있다","법무법인 홍보 문구.","실제 공개 기사 본문 확인(L64).","legal_free_offer","safe","0-19","high","소속 변호사의 무료 상담 가능성을 안내할 뿐 결과나 효능을 보장하지 않는다."
"RW038","public_ad","legal_admin","다음뉴스·조선일보","https://v.daum.net/v/20260513144503154?f=p","2026-07-18","기소만 되면 거액의 합의금을 받을 수 있다","담당 변호사가 의뢰인에게 안내한 결과성 주장.","실제 공개 기사 본문 확인(L72-73).","legal_outcome","risky","50-79","high","기소와 거액 합의금을 단정적으로 연결한다."
"RW039","public_ad","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","국내 최고 승소율","변호사 마케팅에서 금지 예시로 든 광고 문구.","실제 공개 본문 확인(L23-25).","legal_superlative","ambiguous","20-79","medium","‘국내 최고 승소율’은 산정 기간·모수·비교 범위를 확인해야 하는 입증 필요 주장이다."
"RW040","public_ad","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","유일한 이혼 전문","변호사 마케팅에서 금지 예시로 든 광고 문구.","실제 공개 본문 확인(L23-25).","legal_superlative","ambiguous","20-79","medium","‘유일한’이라는 독점 표현은 객관적 비교 범위와 등록 현황 확인이 필요하다."
"RW041","public_ad","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","무조건 승소","변호사 마케팅 금지 표현 사례.","실제 공개 본문 확인(L23-25).","legal_guarantee","risky","80-100","high","통제할 수 없는 소송 결과를 무조건 보장한다."
"RW042","public_ad","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","승소율 99%","객관적 증명 없는 수치화 사례.","실제 공개 본문 확인(L27-29).","legal_metric","ambiguous","20-79","medium","승소율 99%는 산정 기준과 사건 범위를 확인해야 하며 원문만으로 허위 여부를 확정할 수 없다."
"RW043","public_ad","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","결제일로부터 7일이 지나지 않은 경우 전액 환불 가능","구독 환불 조건 안내.","실제 공개 고객센터 본문 확인(L204-205).","refund_policy","safe","0-19","high","전액 환불의 구체적 기간 조건을 함께 밝힌다."
"RW044","public_ad","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","강좌 수강이력이 없고 결제일로부터 7일이 지나지 않은 경우","온라인강의 전액 환불 조건.","실제 공개 고객센터 본문 확인(L205-206).","refund_policy","safe","0-19","high","환불 적용 조건을 구체적으로 제한한다."
"RW045","public_ad","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","제공된 서비스가 표시, 광고 등과 현저한 차이가 있는 경우","환불·취소 가능 사유.","실제 공개 고객센터 본문 확인(L207).","refund_policy","safe","0-19","high","서비스 불일치라는 객관적 환불 사유를 명시한다."
"RW046","public_ad","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","7일 경과 후에는 수수료를 공제한 부분 환불이 가능합니다","구독 상품 부분 환불 조건.","실제 공개 고객센터 본문 확인(L212-216).","refund_policy","safe","0-19","high","기한 경과와 수수료 공제를 함께 안내한다."
"RW047","public_ad","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","수강기간의 50% 이상 경과한 경우 환불 불가","온라인 강좌 환불 제한 조건.","실제 공개 고객센터 본문 확인(L218-221).","refund_policy","safe","0-19","high","환불 불가 기준을 구체적으로 고지한다."
"RW048","public_ad","shopping_refund","썸트렌드","https://some.co.kr/service/terms","2026-07-18","남은 기간 중 사용 월에 대한 서비스 비용을 원가 계산하여 제외한 후 환불해 드립니다","장기 플랜 해지 시 환불 산정 방식.","실제 공개 약관 확인(L99).","refund_policy","safe","0-19","high","사용분 공제라는 환불 계산 기준을 밝힌다."
"RW049","public_ad","shopping_refund","썸트렌드","https://some.co.kr/service/terms","2026-07-18","기능을 한번도 이용하지 않은 고객이 7일 이내에 구독 취소를 한 경우에는 구독 비용이 전액 환불됩니다","미사용 구독의 전액 환불 조건.","실제 공개 약관 확인(L100).","refund_policy","safe","0-19","high","미사용·7일 이내라는 조건을 명확히 붙인다."
"RW050","public_ad","shopping_refund","썸트렌드","https://some.co.kr/service/terms","2026-07-18","카드 결제 환불은 카드 취소가 원칙입니다","카드 환불 처리 원칙.","실제 공개 약관 확인(L102).","refund_policy","safe","0-19","high","환불 수단을 사실적으로 설명한다."
"RW051","public_ad","shopping_refund","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1001877113","2026-07-18","구매영수증이 없어도 전액환불","이케아 안전문 리콜 환불 안내.","실제 공개 카드뉴스 본문 확인(L208-213).","refund_recall","safe","0-19","high","제품 리콜에 따른 구체적 전액 환불 조치다."
"RW052","public_ad","shopping_refund","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1001877113","2026-07-18","사용을 즉시 중단하고 이케아코리아 매장에서 전액환불","안전 우려 제품의 회수·환불 안내.","실제 공개 카드뉴스 본문 확인(L213).","refund_recall","safe","0-19","high","안전조치 맥락의 환불 안내로 결과보장 광고가 아니다."
"RW053","public_ad","privacy_apps","다음뉴스·뉴스1","https://v.daum.net/v/20260128060127810","2026-07-18","1개월 50만 원에 GPS 위치, 메시지 및 통화 내용을 실시간 감청·저장·녹음할 수 있는 앱","악성 감시 앱의 판매 제안.","실제 공개 기사 본문 확인(L94-99).","covert_tracking","risky","80-100","high","타인의 위치·통신을 실시간 감청하는 침해 기능을 판매한다."
"RW054","public_ad","privacy_apps","다음뉴스·뉴스1","https://v.daum.net/v/20260128060127810","2026-07-18","설치 아이콘을 숨겨 피감시자가 앱이 작동 중이라는 것을 알기 어렵다","감시 앱의 은폐 기능 설명.","실제 공개 기사 본문 확인(L101-102).","covert_tracking","risky","80-100","high","피감시자의 인지를 피하도록 설계된 은폐·비동의 기능이다."
"RW055","public_ad","privacy_apps","다음뉴스·뉴스1","https://v.daum.net/v/20260128060127810","2026-07-18","실시간 데이터를 열람하거나 저장된 데이터를 내려받아 확인","감시 앱 구매자가 이용할 수 있던 기능.","실제 공개 기사 본문 확인(L99).","covert_tracking","ambiguous","20-79","medium","데이터 열람·저장은 정상적인 본인 기능일 수도 있어 대상·동의·권한 문맥이 필요하다."
"RW056","public_ad","privacy_apps","Google Play","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","2026-07-18","삭제된 톡 다시 보기, 받은 톡 몰래 보기","메시지 확인 앱의 스토어 제목.","실제 공개 앱 페이지 확인(L35-39).","message_surveillance","risky","50-79","high","상대가 삭제한 메시지를 몰래 확인하는 기능을 홍보한다."
"RW057","public_ad","privacy_apps","Google Play","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","2026-07-18","확인한 메시지는 카톡에서 1이 없어지지 않습니다","앱의 비가시적 메시지 열람 기능 설명.","실제 공개 앱 페이지 확인(L70-72).","message_surveillance","ambiguous","undecided","medium","사용자 본인 알림 보관 기능일 수 있으나 상대에게 읽음이 표시되지 않는 은폐성을 강조한다."
"RW058","public_ad","privacy_apps","Google Play","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","2026-07-18","알림창의 메시지를 저장하기 위해 사용됩니다","앱의 알림 접근 권한 설명.","실제 공개 앱 페이지 확인(L74-78).","permission_notice","safe","0-19","high","권한 사용 목적을 직접 고지한다."
"RW059","public_ad","privacy_apps","Google Play","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","2026-07-18","위치, 앱 활동 외 2개 항목","스토어 데이터 수집·공유 항목 요약.","실제 공개 앱 페이지 확인(L91-103).","data_collection","ambiguous","undecided","medium","수집 범주는 보이나 구체 목적·범위가 짧은 문구만으로는 불명확하다."
"RW060","public_ad","privacy_apps","쭈미로운 생활","https://ourstoryerp.tistory.com/1825","2026-07-18","핸드폰 위치 추적 앱 추천 – 무료부터 고급 기능까지 완벽 비교!","위치 추적 앱 추천 글의 홍보성 제목.","실제 공개 페이지 확인(L19-27).","location_promotion","ambiguous","undecided","medium","합법적 안전 용도와 비동의 추적 용도가 문구만으로 구분되지 않는다."
"RW061","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","○○백화점","일반상가를 백화점처럼 광고하는 예시.","실제 공개 심사지침 확인(L762-765).","property_naming","ambiguous","undecided","medium","실제 백화점인지 단순 상호인지 추가 사실 확인이 필요하다."
"RW062","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","특급호텔","등급이 없는 분양형 호텔의 광고 예시.","실제 공개 심사지침 확인(L765-767).","property_grade","ambiguous","20-79","medium","‘특급호텔’은 공식 등급 또는 상품 설명의 진위를 외부 자료로 확인해야 한다."
"RW063","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","특정지역 거주자에게는 우선권을 부여합니다","사실과 다른 우선권 광고 예시.","실제 공개 심사지침 확인(L786-790).","property_condition","ambiguous","20-79","medium","특정지역 우선권은 실제 공급 조건과 공고 근거가 있어야 사실 여부를 판단할 수 있다."
"RW064","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","선착순 분양","실제로는 입찰이 포함된 분양 광고 예시.","실제 공개 심사지침 확인(L790).","scarcity_claim","ambiguous","undecided","medium","실제 선착순 수량·절차가 명확한지에 따라 판단이 달라진다."
"RW065","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","95% 분양완료!","저조한 분양실적을 과장한 광고 예시.","실제 공개 심사지침 확인(L792).","scarcity_claim","ambiguous","20-79","medium","95% 분양완료는 기준일과 계약 집계 자료가 필요한 사실 주장이다."
"RW066","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","빨리 신청해야 가능합니다","분양 실적과 결합된 긴급성 광고 예시.","실제 공개 심사지침 확인(L792).","urgency_claim","ambiguous","20-79","medium","신청 기한이 실제로 임박했을 수 있어 일정과 수량 근거를 확인해야 한다."
"RW067","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","○차분 ○개 점포 100% 분양","사실과 다른 분양 실적 광고 예시.","실제 공개 심사지침 확인(L794).","scarcity_claim","ambiguous","20-79","medium","100% 분양은 기준일과 계약 완료 자료를 확인해야 하는 실적 주장이다."
"RW068","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","평균 경쟁률 15:1","분양 경쟁률 광고 예시.","실제 공개 심사지침 확인(L794).","competition_metric","ambiguous","undecided","medium","산정 근거가 있으면 사실 정보지만 없으면 과장일 수 있다."
"RW069","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","전국 지하상가 최고의 경쟁률","분양 광고의 최상급 경쟁률 표현.","실제 공개 심사지침 확인(L794).","competition_metric","ambiguous","20-79","medium","전국 최고 경쟁률은 비교 대상·기간·집계 기준에 대한 입증이 필요하다."
"RW070","public_ad","general_goods_services","한국광고자율심의기구","https://karb.or.kr/pages/regulation/ad_regulation1","2026-07-18","○○은행지점 입점확정","계약 체결 전 확정으로 표현한 광고 예시.","실제 공개 심사지침 확인(L796).","future_certainty","ambiguous","20-79","medium","은행지점 입점확정은 계약 또는 공식 발표를 확인해야 하는 외부 사실 주장이다."
"RW071","safe_context","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","100% 합격·성적 보장 같은 표시는 학원법 위반이며, 절대 사용하면 안 됩니다","문제 광고 표현을 금지하는 비판·교육 문맥.","실제 공개 본문 확인(L23-27).","critical_quote","safe","0-19","high","위험 표현을 권유하지 않고 명시적으로 금지한다."
"RW072","safe_context","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","합격생 명단·합격률 표시는 사실대로 해야 합니다","학원 광고 정확성 안내.","실제 공개 본문 확인(L29-31).","safe_disclosure","safe","0-19","high","사실성과 검증을 요구하는 준법 문맥이다."
"RW073","safe_context","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","합격생 동의 없이 이름·사진을 사용하면 안 됩니다","개인정보·초상권 관련 금지 안내.","실제 공개 본문 확인(L31-33).","consent_warning","safe","0-19","high","비동의 이용을 금지하는 보호 문맥이다."
