"test_id","category","input","expected_status","expected_score_range","actual_score","actual_status","matched_skill_ids","reason","suggested_rewrite","verdict","issue_type","notes"
"G018","legal_outcome","허가를 확정적으로 받아 드립니다.","high","80-100","85","high","risk_v03_legal_outcome_promise","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.","PASS","none","행정 결과 확정"
"G019","legal_outcome","사건 결과는 사실관계에 따라 달라지며 승소를 보장하지 않습니다.","no_match","0-0","0","no_match","","","","PASS","none","결과 불확실성 고지"
"G020","legal_outcome","무조건 승소라는 광고는 과장 광고입니다.","no_match","0-0","0","no_match","","","","PASS","none","결과 보장 비판"
"G021","legal_substantiation","국내 최고 승소율을 자랑하는 법률사무소입니다.","review","1-69","58","review","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","최상급·성과 입증 필요"
"G022","legal_substantiation","판사 출신 변호사가 사건을 직접 맡습니다.","review","1-69","58","review","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","권위 경력 신호"
"G023","legal_substantiation","승소율 92%의 이혼 전문 변호사입니다.","review","1-69","58","review","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","성과 수치 입증 필요"
"G024","legal_substantiation","과거 승소율 통계는 산정 기준과 함께 확인하세요.","no_match","0-0","0","no_match","","","","PASS","none","검증 기준 안내"
"G025","legal_substantiation","최고라는 표현은 증명할 자료가 없으면 금지됩니다.","no_match","0-0","0","no_match","","","","PASS","none","최상급 표현 금지"
"G026","general_substantiation","상가 분양 97% 완료를 알립니다.","review","1-69","58","review","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","완료율 입증 필요"
"G027","general_substantiation","유명 카페 입점이 확정됐습니다.","review","1-69","58","review","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","입점 확정 입증 필요"
"G028","general_substantiation","공식 인증 등급을 받았다고 표시합니다.","review","1-69","58","review","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","인증·등급 입증 필요"
"G029","general_substantiation","공식 인증번호와 기준일을 함께 공개합니다.","no_match","0-0","0","no_match","","","","PASS","none","확인 가능한 인증 정보"
"G030","general_substantiation","행사는 다음 달 시작하는 일정 안내입니다.","no_match","0-0","0","no_match","","","","PASS","none","단순 일정 안내"
"G031","general_urgency","마지막 기회이니 지금 구매하세요.","review","1-69","55","review","risk_v03_general_urgency","희소성·긴급성 표현과 구매·신청 행동이 결합합니다.","신청 가능 기간과 수량 제한의 실제 조건을 구체적으로 안내합니다.","PASS","none","구매 압박"
"G032","general_urgency","선착순으로 등록 가능한 한정 프로그램입니다.","review","1-69","55","review","risk_v03_general_urgency","희소성·긴급성 표현과 구매·신청 행동이 결합합니다.","신청 가능 기간과 수량 제한의 실제 조건을 구체적으로 안내합니다.","PASS","none","등록 희소성"
"G033","general_urgency","재고가 얼마 남지 않았으니 빨리 신청하세요.","review","1-69","55","review","risk_v03_general_urgency","희소성·긴급성 표현과 구매·신청 행동이 결합합니다.","신청 가능 기간과 수량 제한의 실제 조건을 구체적으로 안내합니다.","PASS","none","신청 압박"
"G034","general_urgency","접수 마감일은 8월 31일이라는 일정 안내입니다.","no_match","0-0","0","no_match","","","","PASS","none","실제 마감 일정 안내"
"G035","general_urgency","현재 재고 현황을 매일 공개합니다.","no_match","0-0","0","no_match","","","","PASS","none","재고 사실 안내"
"G036","finance","원금은 6개월 안에 전액 회수됩니다.","high","80-100","85","high","risk_v03_finance_return_recovery","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none","원금 회수 확정"
"G037","finance","손실이 나면 투자금 전액 환불을 보장합니다.","high","80-100","87","high","risk_finance_000001|risk_v03_finance_return_recovery","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none","손실 환불 보장"
"G038","finance","고수익만 제공하고 원금도 보전해 드립니다.","high","80-100","85","high","risk_v03_finance_return_recovery","투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none","수익·원금 보장"
"G039","finance","투자에는 원금 손실 가능성이 있으며 수익은 보장되지 않습니다.","no_match","0-0","0","no_match","","","","PASS","none","투자 위험 고지"
"G040","finance","결제 취소 시 배송 전 금액을 전액 환불합니다.","no_match","0-0","0","no_match","","","","PASS","none","소비자 환불 정책"
"G041","income","재택 부업으로 누구나 월 300만원을 보장받습니다.","high","80-100","88","high","risk_v03_income_universal_guarantee|risk_v03_income_guarantee","구인·부업·소득 대상과 보편성·확정·보장 표현이 결합합니다.","소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","부업 소득 보장"
"G042","income","최소 소득 250만원 이상을 확정 지급합니다.","high","80-100","88","high","risk_v03_income_universal_guarantee|risk_v03_income_guarantee","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 구인·부업·소득 대상과 보편성·확정·보장 표현이 결합합니다.","소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","최소 소득 확정"
"G043","income","부업 수입은 누구나 최소 월 150만원입니다.","high","80-100","88","high","risk_v03_income_universal_guarantee|risk_v03_income_guarantee","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 구인·부업·소득 대상과 보편성·확정·보장 표현이 결합합니다.","소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","보편 소득 약속"
"G044","income","정규직 기본급은 근로계약에 따라 월 280만원입니다.","no_match","0-0","0","no_match","","","","PASS","none","정상 근로계약 급여"
"G045","income","성과에 따라 수입이 달라질 수 있습니다.","no_match","0-0","0","no_match","","","","PASS","none","실적 변동 고지"
"G046","education_outcome","수강생 전원의 취업을 보장합니다.","high","80-100","84","high","risk_v03_education_outcome_promise","교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none","취업 결과 보장"
"G047","education_outcome","50명 중 50명이 합격하도록 약속합니다.","high","80-100","84","high","risk_v03_education_outcome_promise","교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none","분수형 전원 합격"
"G048","education_outcome","조건에 상관없이 성적 향상을 보장합니다.","high","80-100","86","high","risk_v03_education_outcome_promise|risk_education_000001","조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none","성적 결과 보장"
"G049","education_outcome","지난해 합격자 통계는 출처와 함께 공개합니다.","no_match","0-0","0","no_match","","","","PASS","none","과거 통계 설명"
"G050","education_outcome","진학 목표에 맞춰 지원 과정을 제공합니다.","no_match","0-0","0","no_match","","","","PASS","none","교육 지원 과정"
"G051","education_substantiation","전국 1위 입시 강사의 수업입니다.","review","1-69","64","review","risk_v03_legal_substantiation|risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","교육 최상급 입증 필요"
"G052","education_substantiation","가장 큰 학원에서 교육합니다.","review","1-69","58","review","risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.","비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.","PASS","none","학원 규모 입증 필요"
"G053","education_substantiation","합격률 96%를 기록한 독보적 교육 과정입니다.","review","1-69","58","review","risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.","비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.","PASS","none","교육 성과 입증 필요"
"G054","education_substantiation","과거 합격자 통계의 출처와 기준을 공개합니다.","no_match","0-0","0","no_match","","","","PASS","none","근거가 있는 과거 통계"
"G055","education_substantiation","최고 강사라는 광고는 부당 광고 위반 소지가 있습니다.","no_match","0-0","0","no_match","","","","PASS","none","최상급 광고 비판"
"G056","privacy_surveillance","상대 몰래 메시지를 실시간으로 확인할 수 있습니다.","high","80-100","92","high","risk_v03_privacy_covert_surveillance|risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.","명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.","PASS","none","비동의 메시지 열람"
"G057","privacy_surveillance","마이크를 켜 원격 녹음하고 통화를 감청합니다.","high","80-100","86","high","risk_v03_privacy_covert_surveillance","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.","명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.","PASS","none","통신 감청"
"G058","privacy_surveillance","GPS 위치를 들키지 않게 추적해 드립니다.","high","80-100","86","high","risk_v03_privacy_covert_surveillance","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.","명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.","PASS","none","은폐 위치 추적"
"G059","privacy_surveillance","명시적 동의를 받은 가족의 위치만 공유합니다.","no_match","0-0","0","no_match","","","","PASS","none","동의 기반 위치 공유"
"G060","privacy_surveillance","몰래 위치를 추적하는 행위는 불법이며 금지됩니다.","no_match","0-0","0","no_match","","","","PASS","none","비동의 추적 금지"
"G061","privacy_stealth","설치한 앱의 아이콘을 숨겨 상대가 모르게 합니다.","high","80-100","84","high","risk_v03_privacy_stealth_install","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동 대상과 숨김·은폐 신호가 결합합니다.","앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.","PASS","none","설치 은폐"
"G062","privacy_stealth","피감시자가 알기 어렵도록 앱 작동 표시를 숨깁니다.","high","80-100","84","high","risk_v03_privacy_stealth_install","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동 대상과 숨김·은폐 신호가 결합합니다.","앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.","PASS","none","작동 은폐"
"G063","privacy_stealth","설치 사실이 표시되지 않도록 은폐합니다.","high","80-100","84","high","risk_v03_privacy_stealth_install","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동 대상과 숨김·은폐 신호가 결합합니다.","앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.","PASS","none","설치 사실 은폐"
"G064","privacy_stealth","관리자 동의 아래 보안 앱을 설치합니다.","no_match","0-0","0","no_match","","","","PASS","none","동의 기반 보안 설치"
"G065","privacy_stealth","접근성 기능 사용 여부를 앱 화면에 명확히 표시합니다.","no_match","0-0","0","no_match","","","","PASS","none","투명한 기능 표시"
"G066","privacy_data","저장된 메시지를 내려받아 확인할 수 있습니다.","review","1-69","55","review","risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.","열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.","PASS","none","데이터 반출 권한 검토"
"G067","privacy_data","실시간 데이터를 열람하고 외부로 전송합니다.","review","1-69","55","review","risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.","열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.","PASS","none","데이터 열람·전송"
"G068","privacy_data","사진과 파일 기록을 저장해 확인합니다.","review","1-69","55","review","risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.","열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.","PASS","none","파일 저장·확인"
"G069","privacy_data","사용자 동의와 권한에 따라 본인 파일을 다운로드합니다.","no_match","0-0","0","no_match","","","","PASS","none","권한 기반 본인 다운로드"
"G070","privacy_data","관리자 권한으로 백업 데이터를 복원합니다.","no_match","0-0","0","no_match","","","","PASS","none","정상 관리자 백업"
"G071","income_review","월 220만원 이상 보장합니다.","review","1-69","60","review","risk_v03_income_guarantee","소득·수입 대상과 보장·최소 금액 표현이 결합합니다.","소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","도메인이 불명확한 월 금액 보장"
"G072","income_review","월 180만원을 최소 보장합니다.","review","1-69","60","review","risk_v03_income_guarantee","소득·수입 대상과 보장·최소 금액 표현이 결합합니다.","소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","도메인이 불명확한 최소 월 금액"
"G073","income_review","월 350만원 이상 지급을 약속합니다.","review","1-69","60","review","risk_v03_income_guarantee","소득·수입 대상과 보장·최소 금액 표현이 결합합니다.","소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","추가 문맥이 필요한 월 지급 주장"
"G074","income_review","근로계약의 기본급은 월 250만원으로 확정됩니다.","no_match","0-0","0","no_match","","","","PASS","none","정상 근로계약 급여"
"G075","income_review","월별 실적과 소득은 달라질 수 있습니다.","no_match","0-0","0","no_match","","","","PASS","none","소득 변동 고지"
