"case_id","original_text","expected_class","label_confidence","actual_score","status","speech_act","matched_skill_ids","reason","suggested_rewrite","verdict","issue_type","notes"
"RW031","2026년형 100% 합격 해결책","risky","high","86","high","statement","risk_v03_education_outcome_promise|risk_education_000001","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
"RW032","가장 큰 학원","ambiguous","medium","58","review","statement","risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.","비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW033","최고의 강사","ambiguous","medium","58","review","statement","risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.","비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW034","성적 향상 가능","safe","high","0","no_match","statement","","","","PASS","none",""
"RW035","구속영장 사건은 영장 전담 판사 출신이 직접 진행한다","ambiguous","medium","58","review","statement","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW036","우리가 제일 잘한다","ambiguous","medium","58","review","statement","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW037","소속 변호사들이 무료 상담을 진행할 수 있다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW038","기소만 되면 거액의 합의금을 받을 수 있다","risky","high","85","high","statement","risk_v03_legal_outcome_promise","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.","PASS","none",""
"RW039","국내 최고 승소율","ambiguous","medium","58","review","statement","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW040","유일한 이혼 전문","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW041","무조건 승소","risky","high","85","high","condition","risk_v03_legal_outcome_promise","조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.","PASS","none",""
"RW042","승소율 99%","ambiguous","medium","58","review","statement","risk_v03_legal_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW043","결제일로부터 7일이 지나지 않은 경우 전액 환불 가능","safe","high","0","no_match","condition","","","","PASS","none",""
"RW044","강좌 수강이력이 없고 결제일로부터 7일이 지나지 않은 경우","safe","high","0","no_match","condition","","","","PASS","none",""
"RW045","제공된 서비스가 표시, 광고 등과 현저한 차이가 있는 경우","safe","high","0","no_match","condition","","","","PASS","none",""
"RW046","7일 경과 후에는 수수료를 공제한 부분 환불이 가능합니다","safe","high","0","no_match","condition","","","","PASS","none",""
"RW047","수강기간의 50% 이상 경과한 경우 환불 불가","safe","high","0","no_match","condition","","","","PASS","none",""
"RW048","남은 기간 중 사용 월에 대한 서비스 비용을 원가 계산하여 제외한 후 환불해 드립니다","safe","high","0","no_match","condition","","","","PASS","none",""
"RW049","기능을 한번도 이용하지 않은 고객이 7일 이내에 구독 취소를 한 경우에는 구독 비용이 전액 환불됩니다","safe","high","0","no_match","condition","","","","PASS","none",""
"RW050","카드 결제 환불은 카드 취소가 원칙입니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW051","구매영수증이 없어도 전액환불","safe","high","0","no_match","promotion","","","","PASS","none",""
"RW052","사용을 즉시 중단하고 이케아코리아 매장에서 전액환불","safe","high","0","no_match","statement","","","","PASS","none",""
"RW053","1개월 50만 원에 GPS 위치, 메시지 및 통화 내용을 실시간 감청·저장·녹음할 수 있는 앱","risky","high","92","high","statement","risk_v03_privacy_covert_surveillance|risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.","명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.","PASS","none",""
"RW054","설치 아이콘을 숨겨 피감시자가 앱이 작동 중이라는 것을 알기 어렵다","risky","high","84","high","statement","risk_v03_privacy_stealth_install","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동 대상과 숨김·은폐 신호가 결합합니다.","앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.","PASS","none",""
"RW055","실시간 데이터를 열람하거나 저장된 데이터를 내려받아 확인","ambiguous","medium","55","review","statement","risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.","열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW056","삭제된 톡 다시 보기, 받은 톡 몰래 보기","risky","high","86","high","statement","risk_v03_privacy_covert_surveillance","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.","명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.","PASS","none",""
"RW057","확인한 메시지는 카톡에서 1이 없어지지 않습니다","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW058","알림창의 메시지를 저장하기 위해 사용됩니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW059","위치, 앱 활동 외 2개 항목","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW060","핸드폰 위치 추적 앱 추천 – 무료부터 고급 기능까지 완벽 비교!","ambiguous","medium","0","no_match","promotion","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW061","○○백화점","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW062","특급호텔","ambiguous","medium","58","review","statement","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW063","특정지역 거주자에게는 우선권을 부여합니다","ambiguous","medium","58","review","statement","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW064","선착순 분양","ambiguous","medium","55","review","statement","risk_v03_general_urgency","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 희소성·긴급성 표현과 구매·신청 행동이 결합합니다.","신청 가능 기간과 수량 제한의 실제 조건을 구체적으로 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW065","95% 분양완료!","ambiguous","medium","58","review","statement","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW066","빨리 신청해야 가능합니다","ambiguous","medium","55","review","promotion","risk_v03_general_urgency","희소성·긴급성 표현과 구매·신청 행동이 결합합니다.","신청 가능 기간과 수량 제한의 실제 조건을 구체적으로 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW067","○차분 ○개 점포 100% 분양","ambiguous","medium","58","review","statement","risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.","기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW068","평균 경쟁률 15:1","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW069","전국 지하상가 최고의 경쟁률","ambiguous","medium","64","review","statement","risk_v03_legal_substantiation|risk_v03_general_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.","비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW070","○○은행지점 입점확정","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW071","100% 합격·성적 보장 같은 표시는 학원법 위반이며, 절대 사용하면 안 됩니다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW072","합격생 명단·합격률 표시는 사실대로 해야 합니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW073","합격생 동의 없이 이름·사진을 사용하면 안 됩니다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW074","근거 없는 비교 광고는 부당 광고입니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW075","최상급 표현은 엄격히 금지됩니다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW076","승소율 99%라는 문구는 기준을 증명하지 못하면 허위·과장 광고가 됩니다","safe","high","0","no_match","criticism","","","","PASS","none",""
"RW077","구체적인 수치보다는 다수의 승소 사례 보유 정도로 표현하는 것이 안전합니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW078","타 변호사를 깎아내리는 비교 문구는 사용해서는 안 됩니다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW079","100% 승소처럼 과도한 장담을 한다면 신뢰할 수 없을 가능성이 큽니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW080","소송 결과는 다양한 변수에 따라 달라집니다","safe","high","0","no_match","condition","","","","PASS","none",""
"RW081","처리한 사건 경험과 현실적인 조언을 바탕으로 신뢰도를 평가하세요","safe","high","0","no_match","statement","","","","PASS","none",""
"RW082","상대방 동의 필수: 몰래 위치 추적은 불법입니다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW083","위치 공유 범위와 데이터 저장 주기를 확인하세요","safe","high","55","review","statement","risk_v03_privacy_data_access_review","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.","열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.","PASS","none",""
"RW084","스파이앱은 동의 없이 설치하면 형사 처벌됩니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW085","광고는 운영체제의 알림처럼 가장하거나 속여서는 안 됩니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW086","광고는 불이익 없이 간편하게 닫을 수 있어야 합니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW087","15초가 지난 후에도 닫을 수 없는 전체 화면 전면 광고는 허용되지 않습니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW088","전면 광고를 반복적으로 표시해 앱 작업을 방해하는 앱은 허용되지 않습니다","safe","high","0","no_match","statement","","","","PASS","none",""
"RW089","광고 문구를 그대로 신뢰하지 않도록 주의해야 한다","safe","high","0","no_match","warning","","","","PASS","none",""
"RW090","중도해지 환급 기준 등 계약서 내용을 반드시 확인할 것","safe","high","0","no_match","condition","","","","PASS","none",""
"RW091","출시기념, 명절, 연말 등 특별 이벤트를 통해 더 큰 만족감 제공","ambiguous","medium","0","no_match","promotion","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW092","소상공인 매출증대 및 부가가치 창출 효과","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW093","패키지 상품의 경우, 별도 규정 적용","safe","high","0","no_match","condition","","","","PASS","none",""
"RW094","할인쿠폰은 일부 품목이나 금액에 따라 사용이 제한될 수 있습니다","safe","high","0","no_match","condition","","","","PASS","none",""
"RW095","제공된 할인 쿠폰은 중복으로 사용할 수 없습니다","safe","high","0","no_match","promotion","","","","PASS","none",""
"RW096","판매자의 경력을 강조합니다!","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW097","추천하고 싶어요","safe","high","0","no_match","promotion","","","","PASS","none",""
"RW098","여러분의 입시 성공을 이끌어 낼 가장 독보적이고 압도적인 정보","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW099","광고 포함","safe","high","0","no_match","statement","","","","PASS","none",""
"RW100","365일 안전한 식품, 건강한 미래","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
