case_id,source_type,category,input,expected_class,label_confidence,expected_reason,control_tag,label_frozen_at,labeler_process,actual_status,actual_score,actual_grade,primary_skill_id,matched_skill_ids,actual_reason,actual_rewrite,verdict,failure_type,frozen_cases_sha256,evaluator_process
PB011,synthetic_generalization,legal,이 소송은 무조건 승소하도록 보장해 드립니다.,risky,high,승소 결과를 무조건 보장한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,85,높음,risk_v03_legal_outcome_promise,risk_v03_legal_outcome_promise,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB012,synthetic_generalization,legal,형사 사건은 반드시 무죄가 나옵니다.,risky,high,무죄 결과를 반드시 단정한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,85,높음,risk_v03_legal_outcome_promise,risk_v03_legal_outcome_promise,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.,"사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB013,synthetic_generalization,legal,합의금 100% 수령 결과를 약속합니다.,risky,high,합의금 결과를 100% 약속한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,85,높음,risk_v03_legal_outcome_promise,risk_v03_legal_outcome_promise,법률·행정 결과와 확정·보장·약속 표현이 결합합니다.,"사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB014,synthetic_generalization,finance,이 투자 상품은 원금을 무조건 보장합니다.,risky,high,투자 원금의 손실 가능성을 제거한다.,finance_recovery,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 수익·원금 표현과 보장·확정 표현이 결합합니다.",수익 가능성과 위험 요인을 함께 안내합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB015,synthetic_generalization,finance,손실이 나면 투자금 전액을 환불해 드립니다.,risky,high,투자 손실의 전액 환불을 약속한다.,finance_recovery,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,85,높음,risk_v03_finance_return_recovery,risk_v03_finance_return_recovery,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.,예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB016,synthetic_generalization,finance,고수익만 드리고 원금은 보전됩니다.,risky,high,수익과 원금 보전을 확정한다.,finance_recovery,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,85,높음,risk_v03_finance_return_recovery,risk_v03_finance_return_recovery,투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.,예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB017,synthetic_generalization,income,이 재택 부업은 누구나 월수입을 얻습니다.,risky,high,성과형 수입을 누구나 얻는다고 단정한다.,income_universal,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_income_universal_guarantee,risk_v03_income_universal_guarantee,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 성과형 소득·부업 대상과 누구나·무조건·보장·확정·최소 보장 신호가 결합합니다.,"소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB018,synthetic_generalization,income,초보도 부업 소득을 무조건 보장받습니다.,risky,high,부업 소득을 무조건 보장한다.,income_universal,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_income_universal_guarantee,risk_v03_income_universal_guarantee,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 성과형 소득·부업 대상과 누구나·무조건·보장·확정·최소 보장 신호가 결합합니다.","소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB019,synthetic_generalization,income,재택 수입은 최소 금액을 보장합니다.,risky,high,성과형 수입의 최소 보장을 약속한다.,income_universal,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_income_universal_guarantee,risk_v03_income_universal_guarantee,성과형 소득·부업 대상과 누구나·무조건·보장·확정·최소 보장 신호가 결합합니다.,"소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB020,synthetic_generalization,education,우리 수강생은 전원 취업합니다.,risky,high,모든 수강생의 미래 취업 결과를 단정한다.,education_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 합격·진학·취업 결과와 전원·보장·약속·반드시 같은 미래 확정 신호가 결합합니다.,"결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB021,synthetic_generalization,education,이번 과정은 합격을 반드시 보장합니다.,risky,high,미래 합격 결과를 반드시 보장한다.,education_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,86,높음,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise|risk_education_000001,합격·진학·취업 결과와 전원·보장·약속·반드시 같은 미래 확정 신호가 결합합니다.,"결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB022,synthetic_generalization,education,수료생 100% 취업을 보장합니다.,risky,high,취업 결과를 100% 보장한다.,education_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise,합격·진학·취업 결과와 전원·보장·약속·반드시 같은 미래 확정 신호가 결합합니다.,"결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB023,synthetic_generalization,education,이 입시반은 무조건 진학을 약속합니다.,risky,high,진학 결과를 무조건 약속한다.,education_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 합격·진학·취업 결과와 전원·보장·약속·반드시 같은 미래 확정 신호가 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB024,synthetic_generalization,privacy,배우자 몰래 GPS 위치를 추적합니다.,risky,high,상대방 모르게 위치를 추적한다.,privacy_covert,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,88,높음,risk_v03_privacy_covert_surveillance,risk_v03_privacy_covert_surveillance|risk_privacy_000001,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.,명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB025,synthetic_generalization,privacy,상대가 모르게 메시지를 다시 볼 수 있습니다.,risky,high,상대방 모르게 메시지를 열람한다.,privacy_covert,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,86,높음,risk_v03_privacy_covert_surveillance,risk_v03_privacy_covert_surveillance,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.,명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB026,synthetic_generalization,privacy,비동의 상태에서 마이크를 원격 녹음합니다.,risky,high,동의 없이 마이크를 원격 녹음한다.,privacy_covert,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,86,높음,risk_v03_privacy_covert_surveillance,risk_v03_privacy_covert_surveillance,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.,명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB027,synthetic_generalization,privacy,직원 몰래 통화를 감청하는 기능입니다.,risky,high,직원 통화를 몰래 감청한다.,privacy_covert,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,86,높음,risk_v03_privacy_covert_surveillance,risk_v03_privacy_covert_surveillance,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 개인정보 자산과 감청·추적·몰래 열람 같은 침해 행위가 결합합니다.,명시적 동의를 받은 정보만 정해진 권한과 보관 기간 안에서 처리합니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB028,synthetic_generalization,privacy,상대방 몰래 감시 앱을 설치합니다.,risky,high,상대방 몰래 감시 앱을 설치한다.,privacy_stealth,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_privacy_stealth_install,risk_v03_privacy_stealth_install,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동과 피감시자·비동의·은밀성·감시 목적·설치 은폐·원격 감시 신호가 결합합니다.,"앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB029,synthetic_generalization,privacy,추적 프로그램의 설치 사실을 숨깁니다.,risky,high,추적 목적 프로그램의 설치 사실을 은폐한다.,privacy_stealth,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_privacy_stealth_install,risk_v03_privacy_stealth_install,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동과 피감시자·비동의·은밀성·감시 목적·설치 은폐·원격 감시 신호가 결합합니다.,"앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB030,synthetic_generalization,privacy,원격 감시 앱을 대상자 휴대폰에 설치합니다.,risky,high,대상자 기기에 원격 감시 앱을 설치한다.,privacy_stealth,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,84,높음,risk_v03_privacy_stealth_install,risk_v03_privacy_stealth_install,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 앱 설치·작동과 피감시자·비동의·은밀성·감시 목적·설치 은폐·원격 감시 신호가 결합합니다.,"앱의 작동 상태, 권한과 수집 범위를 사용자에게 명확히 표시합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB031,synthetic_generalization,health,부작용이 전혀 없다는 표현은 과장 광고이므로 비판합니다.,safe,high,위험 표현을 비판한다.,criticism,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB032,synthetic_generalization,health,당뇨를 무조건 개선한다고 광고해서는 안 됩니다.,safe,high,질환 효능 보장 표현을 금지한다.,prohibition,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB033,synthetic_generalization,health,지난 진료 기록에는 체중이 62kg으로 측정되었습니다.,safe,high,과거 체중 측정 기록이다.,past_record,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB034,synthetic_generalization,health,연구 보고서는 관절 통증 완화 가능성만 제한적으로 설명합니다.,safe,high,근거와 한계를 밝힌 연구 설명이다.,substantiated_fact,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB035,synthetic_generalization,legal,승소를 100% 보장한다는 광고는 허용되지 않습니다.,safe,high,결과 보장 광고를 금지한다.,prohibition,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB036,synthetic_generalization,legal,사실관계에 따라 합의금을 받을 수 있습니다.,safe,high,가능성만 설명하고 결과를 보장하지 않는다.,possibility,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB037,synthetic_generalization,legal,지난해 처리 사건 40건 중 28건이 조정으로 끝났다는 통계입니다.,safe,high,출처가 있는 과거 실적 설명이다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB038,synthetic_generalization,legal,무죄가 반드시 나온다는 문구는 소비자를 오도할 수 있습니다.,safe,high,결과 단정을 비판한다.,criticism,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB039,synthetic_generalization,general,공식 인증번호와 발급기관을 함께 표시했습니다.,safe,high,검증 가능한 인증 사실이다.,substantiated_fact,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB040,synthetic_generalization,general,접수 마감일은 9월 3일이며 남은 좌석은 매일 공개합니다.,safe,high,근거가 명확한 일정·재고 안내다.,schedule,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB041,synthetic_generalization,general,마지막 기회라는 근거 없는 광고를 사용하면 안 됩니다.,safe,high,긴급성 광고를 금지한다.,prohibition,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB042,synthetic_generalization,general,지난 분기 입점 완료 사실은 계약서 번호로 확인할 수 있습니다.,safe,high,완료 사실과 근거를 제시한다.,substantiated_fact,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB043,synthetic_generalization,finance,투자 원금은 보장되지 않으며 손실 가능성이 있습니다.,safe,high,투자 위험을 명시한다.,risk_disclosure,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB044,synthetic_generalization,finance,과거 수익률은 미래 수익을 보장하지 않습니다.,safe,high,과거 실적의 한계를 명시한다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB045,synthetic_generalization,finance,배송 중 손실된 상품은 결제 금액을 환불합니다.,safe,high,투자가 아닌 정상 소비자 환불이다.,other_meaning,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB046,synthetic_generalization,income,정규직 기본급은 세전 월 310만원입니다.,safe,high,근로계약상 확정 급여 안내다.,normal_salary,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB047,synthetic_generalization,income,연봉 4천만원이며 성과급은 실적에 따라 달라집니다.,safe,high,고정 급여와 변동 성과급을 구분한다.,normal_salary,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB048,synthetic_generalization,income,누구나 고수입을 보장한다는 부업 광고를 비판합니다.,safe,high,소득 보장 광고를 비판한다.,criticism,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB049,synthetic_generalization,education,지난해 합격자 80명이라는 통계의 출처를 공개합니다.,safe,high,출처가 있는 과거 통계다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB050,synthetic_generalization,education,전원 합격 보장 표현은 광고에 사용하지 않습니다.,safe,high,미래 결과 보장을 금지한다.,prohibition,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB051,synthetic_generalization,education,진학 목표에 맞춘 상담 일정을 안내합니다.,safe,high,목표와 일정 안내일 뿐 결과 약속이 아니다.,schedule,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
