"case_id","original_text","expected_class","expected_risk_range","actual_score","actual_level","matched_skill_ids","actual_reason","suggested_rewrite","verdict","issue_type","severity","notes","source_url","screenshot"
"RW021","모공 수 개선","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=289571&pageIndex=73&searchCnd=all&searchCtgry=&searchKrwd=",""
"RW022","10대 연령의 눈가로 만들어 줌","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=289571&pageIndex=73&searchCnd=all&searchCtgry=&searchKrwd=",""
"RW023","뼈건강, 혈당조절, 항암효과에 효능","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.dietitian.or.kr/ks_result.do?curPage=835&curpage=762",""
"RW024","변비, 당뇨개선, 숙취개선에 효능","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.dietitian.or.kr/ks_result.do?curPage=835&curpage=762","artifacts/real-world-evaluation/screenshots/RW024-false-negative.png"
"RW025","서류 합격 보장!","risky","80-100","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","PASS","none","none","위험 탐지 및 기대 점수대 충족.","https://www.saramin.co.kr/zf_user/store/product?salePrdCd=PMe8dd333b845b42a2b0","artifacts/real-world-evaluation/screenshots/RW025-normal-high-risk.png"
"RW026","조건에 상관없이 100% 진학을 보장한다","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.khan.co.kr/article/200610210948361",""
"RW027","이미 100% 합격을 해당학과 교수에게 보장받았다","risky","80-100","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","PASS","none","none","위험 탐지 및 기대 점수대 충족.","https://www.khan.co.kr/article/200610210948361",""
"RW028","100명 보내면 100명 다 합격시켜 주기로 약속했다","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.khan.co.kr/article/200610210948361","artifacts/real-world-evaluation/screenshots/RW028-false-negative.png"
"RW029","일단 1개월만 다니면서 출석을 잘하시면 원서를 써드릴게요","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://www.khan.co.kr/article/200610210948361",""
"RW030","합격률 300% 올리는 대체서식 작성법","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://yokobe.tistory.com/entry/2026-%EC%B5%9C%EC%8B%A0-%EA%B2%80%EC%A0%95%EA%B3%A0%EC%8B%9C-%EC%B6%9C%EC%8B%A0-%EC%88%98%ED%97%98%EC%83%9D%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%83%9D%EB%B6%80-%EC%A2%85%ED%95%A9-%EC%A0%84%ED%98%95-%EC%A7%80%EC%9B%90-%EC%A0%84%EB%9E%B5-%ED%95%A9%EA%B2%A9%EB%A5%A0-300-%EC%98%AC%EB%A6%AC%EB%8A%94-%EB%8C%80%EC%B2%B4%EC%84%9C%EC%8B%9D-%EC%9E%91%EC%84%B1%EB%B2%95",""
"RW031","2026년형 100% 합격 해결책","risky","80-100","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","PASS","none","none","위험 탐지 및 기대 점수대 충족.","https://yokobe.tistory.com/entry/2026-%EC%B5%9C%EC%8B%A0-%EA%B2%80%EC%A0%95%EA%B3%A0%EC%8B%9C-%EC%B6%9C%EC%8B%A0-%EC%88%98%ED%97%98%EC%83%9D%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%83%9D%EB%B6%80-%EC%A2%85%ED%95%A9-%EC%A0%84%ED%98%95-%EC%A7%80%EC%9B%90-%EC%A0%84%EB%9E%B5-%ED%95%A9%EA%B2%A9%EB%A5%A0-300-%EC%98%AC%EB%A6%AC%EB%8A%94-%EB%8C%80%EC%B2%B4%EC%84%9C%EC%8B%9D-%EC%9E%91%EC%84%B1%EB%B2%95",""
"RW032","가장 큰 학원","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.uge.co.kr/academy/9413",""
"RW033","최고의 강사","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.uge.co.kr/academy/9413",""
"RW034","성적 향상 가능","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.uge.co.kr/academy/9413","artifacts/real-world-evaluation/screenshots/RW034-normal-safe.png"
"RW035","구속영장 사건은 영장 전담 판사 출신이 직접 진행한다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260513144503154?f=p",""
"RW036","우리가 제일 잘한다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260513144503154?f=p",""
"RW037","소속 변호사들이 무료 상담을 진행할 수 있다","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://v.daum.net/v/20260513144503154?f=p",""
"RW038","기소만 되면 거액의 합의금을 받을 수 있다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260513144503154?f=p",""
"RW039","국내 최고 승소율","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://kmong.com/article/3170",""
"RW040","유일한 이혼 전문","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://kmong.com/article/3170",""
"RW041","무조건 승소","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://kmong.com/article/3170",""
"RW042","승소율 99%","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://kmong.com/article/3170",""
"RW043","결제일로부터 7일이 지나지 않은 경우 전액 환불 가능","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.ebs.co.kr/customer/introduce/payment/refund","artifacts/real-world-evaluation/screenshots/RW043-normal-safe.png"
"RW044","강좌 수강이력이 없고 결제일로부터 7일이 지나지 않은 경우","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.ebs.co.kr/customer/introduce/payment/refund",""
"RW045","제공된 서비스가 표시, 광고 등과 현저한 차이가 있는 경우","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.ebs.co.kr/customer/introduce/payment/refund",""
"RW046","7일 경과 후에는 수수료를 공제한 부분 환불이 가능합니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.ebs.co.kr/customer/introduce/payment/refund",""
"RW047","수강기간의 50% 이상 경과한 경우 환불 불가","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.ebs.co.kr/customer/introduce/payment/refund",""
"RW048","남은 기간 중 사용 월에 대한 서비스 비용을 원가 계산하여 제외한 후 환불해 드립니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://some.co.kr/service/terms",""
"RW049","기능을 한번도 이용하지 않은 고객이 7일 이내에 구독 취소를 한 경우에는 구독 비용이 전액 환불됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://some.co.kr/service/terms",""
"RW050","카드 결제 환불은 카드 취소가 원칙입니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://some.co.kr/service/terms",""
"RW051","구매영수증이 없어도 전액환불","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1001877113",""
"RW052","사용을 즉시 중단하고 이케아코리아 매장에서 전액환불","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1001877113",""
"RW053","1개월 50만 원에 GPS 위치, 메시지 및 통화 내용을 실시간 감청·저장·녹음할 수 있는 앱","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260128060127810","artifacts/real-world-evaluation/screenshots/RW053-false-negative.png"
"RW054","설치 아이콘을 숨겨 피감시자가 앱이 작동 중이라는 것을 알기 어렵다","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260128060127810",""
"RW055","실시간 데이터를 열람하거나 저장된 데이터를 내려받아 확인","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://v.daum.net/v/20260128060127810",""
"RW056","삭제된 톡 다시 보기, 받은 톡 몰래 보기","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture",""
"RW057","확인한 메시지는 카톡에서 1이 없어지지 않습니다","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture",""
"RW058","알림창의 메시지를 저장하기 위해 사용됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","artifacts/real-world-evaluation/screenshots/RW058-normal-safe.png"
"RW059","위치, 앱 활동 외 2개 항목","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture",""
"RW060","핸드폰 위치 추적 앱 추천 – 무료부터 고급 기능까지 완벽 비교!","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://ourstoryerp.tistory.com/1825",""
"RW061","○○백화점","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW062","특급호텔","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW063","특정지역 거주자에게는 우선권을 부여합니다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW064","선착순 분양","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW065","95% 분양완료!","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW066","빨리 신청해야 가능합니다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW067","○차분 ○개 점포 100% 분양","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW068","평균 경쟁률 15:1","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW069","전국 지하상가 최고의 경쟁률","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW070","○○은행지점 입점확정","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://karb.or.kr/pages/regulation/ad_regulation1",""
"RW071","100% 합격·성적 보장 같은 표시는 학원법 위반이며, 절대 사용하면 안 됩니다","safe","0-19","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","FAIL","false_positive","high","안전 기대 사례를 위험 주장으로 탐지함.","https://www.uge.co.kr/academy/9413","artifacts/real-world-evaluation/screenshots/RW071-false-positive.png"
"RW072","합격생 명단·합격률 표시는 사실대로 해야 합니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.uge.co.kr/academy/9413",""
"RW073","합격생 동의 없이 이름·사진을 사용하면 안 됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.uge.co.kr/academy/9413",""
"RW074","근거 없는 비교 광고는 부당 광고입니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.uge.co.kr/academy/9413",""
"RW075","최상급 표현은 엄격히 금지됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://kmong.com/article/3170",""
"RW076","승소율 99%라는 문구는 기준을 증명하지 못하면 허위·과장 광고가 됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://kmong.com/article/3170",""
"RW077","구체적인 수치보다는 다수의 승소 사례 보유 정도로 표현하는 것이 안전합니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://kmong.com/article/3170",""
"RW078","타 변호사를 깎아내리는 비교 문구는 사용해서는 안 됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://kmong.com/article/3170",""
"RW079","100% 승소처럼 과도한 장담을 한다면 신뢰할 수 없을 가능성이 큽니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002",""
"RW080","소송 결과는 다양한 변수에 따라 달라집니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002",""
"RW081","처리한 사건 경험과 현실적인 조언을 바탕으로 신뢰도를 평가하세요","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002",""
"RW082","상대방 동의 필수: 몰래 위치 추적은 불법입니다","safe","0-19","82","높음","risk_privacy_000001","비동의 표현과 위치·동선 분석 또는 추적이 결합합니다.","동의받은 위치 정보를 바탕으로 맞춤 정보를 제공합니다.","FAIL","false_positive","high","안전 기대 사례를 위험 주장으로 탐지함.","https://ourstoryerp.tistory.com/1825","artifacts/real-world-evaluation/screenshots/RW082-false-positive.png"
"RW083","위치 공유 범위와 데이터 저장 주기를 확인하세요","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://ourstoryerp.tistory.com/1825",""
"RW084","스파이앱은 동의 없이 설치하면 형사 처벌됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://pisos007.tistory.com/6657",""
"RW085","광고는 운영체제의 알림처럼 가장하거나 속여서는 안 됩니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko",""
"RW086","광고는 불이익 없이 간편하게 닫을 수 있어야 합니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko",""
"RW087","15초가 지난 후에도 닫을 수 없는 전체 화면 전면 광고는 허용되지 않습니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko",""
"RW088","전면 광고를 반복적으로 표시해 앱 작업을 방해하는 앱은 허용되지 않습니다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko",""
"RW089","광고 문구를 그대로 신뢰하지 않도록 주의해야 한다","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=",""
"RW090","중도해지 환급 기준 등 계약서 내용을 반드시 확인할 것","safe","0-19","0","미탐지","","","","PASS","none","none","안전 기대 사례가 낮은 점수·무스킬로 유지됨.","https://www.kca.go.kr/kca/sub.do?menukey=5293&mode=view&no=1002799714&page=101",""
"RW091","출시기념, 명절, 연말 등 특별 이벤트를 통해 더 큰 만족감 제공","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://www.gongju.go.kr/kr/sub06_06_03_01.do",""
