case_id,source_type,domain,source_name,source_url,accessed_at,original_text,surrounding_context,collection_notes,duplicate_group,expected_class,expected_range,label_confidence,label_reason,label_frozen_at,authoring_phase,actual_status,actual_status_label,actual_score,actual_grade,primary_skill_id,matched_skill_ids,actual_reason,actual_rewrite,range_pass,class_pass,verdict,failure_type,repeat_consistent,frozen_cases_sha256,evaluator_process
FB011,public_ad,health,출두라 SMP 홍보 페이지,https://chuldula.com/,2026-07-18T17:40:00+09:00,98% 만족도,메인 화면의 성과 지표,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,분모·조사 방법이 없는 만족도 수치다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB012,public_ad,health,출두라 SMP 홍보 페이지,https://chuldula.com/,2026-07-18T17:40:00+09:00,500+ 시술 완료,메인 화면의 누적 실적 지표,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,누적 실적은 입증이 필요하나 현재 조합 규칙 대상과 다르다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB013,public_ad,health,출두라 SMP 홍보 페이지,https://chuldula.com/,2026-07-18T17:40:00+09:00,4-6년 지속 효과,메인 화면의 지속 기간 표시,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,효과 기간 주장이지만 질환·정량 감량과는 무관하다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB014,public_ad,health,출두라 SMP 홍보 페이지,https://chuldula.com/,2026-07-18T17:40:00+09:00,즉시 효과,메인 화면의 효과 속도 표시,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,효과 대상이 생략된 짧은 판촉 문구다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB015,public_ad,health,불법 미용시술 광고 보도,https://www.jeollailbo.com/news/articleView.html?idxno=733191,2026-07-18T17:40:00+09:00,100% 완전 안전 보장,불법 미용시술 광고에 사용된 문구를 보도가 인용,보도문에 인용된 실제 광고 문구 전사,,risky,45-100,medium,절대 안전 보장이지만 ‘안전성’ 또는 ‘부작용’ 대상어가 생략되어 있다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB016,public_ad,general,스마트스토어 파트너스,https://smartstoreinc.net/alba,2026-07-18T17:40:00+09:00,안정적인 부수입의 기회,해외구매 부업 파트너 모집 문구,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,기회 표현만 있고 금액·보장·최소 조건은 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB017,public_ad,finance,뉴스핌 유사수신 광고 보도,https://www.newspim.com/news/view/20170529000148,2026-07-18T17:40:00+09:00,원금보장과 확정 수익률,유사수신 업체 광고 표현을 보도가 인용,보도문에 인용된 실제 광고 문구 전사,,risky,80-100,high,원금 보장과 수익 확정이 결합한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB018,public_ad,finance,한화투자증권 소비자경보,https://www.hanwhawm.com/main/common/common_file/fileView.cmd?category=2&file=20230627015227998.pdf,2026-07-18T17:40:00+09:00,원금과 이익을 보전,불법 금융투자 광고 사례 문구,경보 자료에 수록된 실제 사례 문구 전사,,risky,80-100,high,원금과 이익 보전을 약속한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,85,높음,risk_v03_finance_return_recovery,risk_v03_finance_return_recovery,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.,예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB019,public_ad,finance,한화투자증권 소비자경보,https://www.hanwhawm.com/main/common/common_file/fileView.cmd?category=2&file=20230627015227998.pdf,2026-07-18T17:40:00+09:00,원금 손실 없이 고수익을 보장,불법 금융투자 광고 사례 문구,경보 자료에 수록된 실제 사례 문구 전사,,risky,80-100,high,원금 손실 부재와 고수익 보장을 함께 약속한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB020,public_ad,finance,한화투자증권 소비자경보,https://www.hanwhawm.com/main/common/common_file/fileView.cmd?category=2&file=20230627015227998.pdf,2026-07-18T17:40:00+09:00,천연가스 베이시스 거래를 통해 한달에 약 8%의 수익,불법 금융투자 광고 사례의 수익률 설명,경보 자료에 수록된 실제 사례 문구 전사,,risky,45-100,medium,구체적 고수익률이지만 보장·회수 표현은 생략됐다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB021,public_ad,finance,국제신문 유사수신 광고 보도,https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200123.99099010597,2026-07-18T17:40:00+09:00,원금 및 고수익을 보장,SNS 투자 광고 표현을 보도가 인용,보도문에 인용된 실제 광고 문구 전사,,risky,80-100,high,원금과 고수익 보장을 함께 제시한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB022,public_ad,general,프라임에셋 SP파트너스,https://www.primeasp.com/primedb/,2026-07-18T17:40:00+09:00,업계 최고 수준 대우 보장,보험설계사 부업 모집 페이지의 처우 홍보,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,대우 조건의 비교 표현이지 투자 수익이나 월 소득 보장은 아니다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB023,public_ad,finance,로톡 투자사기 판례 해설,https://www.lawtalk.co.kr/case-lenses/31679,2026-07-18T17:40:00+09:00,원금 이상의 수익을 보장,사기 사건에서 사용된 투자 권유 표현,판례 해설에 인용된 실제 권유 문구 전사,,risky,80-100,high,원금 이상의 수익을 보장한다고 약속한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB024,public_ad,finance,로톡 투자사기 판례 해설,https://www.lawtalk.co.kr/case-lenses/31679,2026-07-18T17:40:00+09:00,고수익을 약속,사기 사건에서 사용된 투자 권유 표현,판례 해설에 인용된 실제 권유 문구 전사,,risky,45-100,medium,고수익 약속이지만 승인 규칙 문맥어에는 ‘약속’이 포함되지 않는다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB025,public_ad,finance,바이테더 홍보 페이지,https://bytether-guide.com/guide,2026-07-18T17:40:00+09:00,타 OTC 대비 최소 3% 마진율 보장,코인 거래 서비스의 비교·마진 홍보,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,45-100,medium,최소 마진 보장이지만 원금·투자·수익 대상어가 같은 문장에 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB026,public_ad,finance,부업의 함정 취재 보도,https://v.daum.net/v/20251129063217635,2026-07-18T17:40:00+09:00,100% 수익 보장,재택 부업 제안자가 사용한 수익 광고를 제목과 본문이 인용,보도문에 인용된 실제 제안 문구 전사,,risky,80-100,high,수익 보장을 절대 수치로 제시한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB027,public_ad,finance,프라임에셋 SP파트너스,https://www.primeasp.com/primedb/,2026-07-18T17:40:00+09:00,타사 대비 훨씬 높은 수익을 보장합니다.,보험설계사 부업 모집 페이지의 정산 홍보,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,80-100,high,수익과 보장 표현이 직접 결합한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,87,높음,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,수익·원금 표현과 보장·확정 표현이 결합합니다.,수익 가능성과 위험 요인을 함께 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB028,public_ad,education,입시나비,https://m.ipsinavi.com/?Page=main,2026-07-18T17:40:00+09:00,입시 합격률 극대화,입시 컨설팅 서비스 핵심 홍보 문구,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,45-100,medium,합격률 개선 주장이나 전원·보장·약속은 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,review,추가 검토,58,유의,risk_v03_education_substantiation,risk_v03_education_substantiation,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.,"비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.",PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB029,public_ad,education,입시나비,https://m.ipsinavi.com/?Page=main,2026-07-18T17:40:00+09:00,학부모 만족도 95% 달성,입시 컨설팅 서비스 성과 지표,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,만족도 수치의 조사 근거 확인이 필요하다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB030,public_ad,education,입시나비,https://m.ipsinavi.com/?Page=main,2026-07-18T17:40:00+09:00,AI 활용 학생별 합격 확률 예측,입시 컨설팅 기능 소개,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,예측 기능 소개이며 결과 보장은 아니다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB031,public_ad,education,입시나비,https://m.ipsinavi.com/?Page=main,2026-07-18T17:40:00+09:00,목표 대학 합격 가능성을 정확하게 예측하고 관리합니다,입시 컨설팅 기능 소개,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,정확성 주장에 대한 근거 검토가 필요하다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB032,public_ad,education,위캔 입시 컨설팅,https://wecan000.imweb.me/,2026-07-18T17:40:00+09:00,확실한 합격 보장 대학 2개교 안전망 구축,입시 전략 서비스 소개,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,80-100,high,합격과 보장 표현이 직접 결합한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,86,높음,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise|risk_education_000001,합격·진학·취업 결과와 전원·보장·약속·반드시 같은 미래 확정 신호가 결합합니다.,"결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.",PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB033,public_ad,education,위캔 입시 컨설팅,https://wecan000.imweb.me/,2026-07-18T17:40:00+09:00,학생·학부모 진로 희망사항 100% 반영,컨설팅 운영 방침 홍보,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,의견 반영 비율이지 합격 결과 보장은 아니다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB034,public_ad,education,채널A 승무원학원 광고 보도,https://ichannela.com/news/detail/54154956-1.do,2026-07-18T17:40:00+09:00,저희 학원생들은 다 합격을 시켜 드려요.,학원 상담 광고 발언을 보도가 인용,보도문에 인용된 실제 상담 문구 전사,,risky,45-100,medium,전원 의미를 암시하지만 승인 규칙의 표면어 ‘전원·보장’은 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB035,public_ad,education,채널A 승무원학원 광고 보도,https://ichannela.com/news/detail/54154956-1.do,2026-07-18T17:40:00+09:00,스튜어디스 특채 보장,학원 광고 표현을 보도가 인용,보도문에 인용된 실제 광고 문구 전사,,risky,45-100,medium,채용 결과 보장이지만 승인 규칙의 교육 결과 대상어가 생략됐다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB036,public_ad,education,채널A 승무원학원 광고 보도,https://ichannela.com/news/detail/54154956-1.do,2026-07-18T17:40:00+09:00,최단기간에 가장 많은 합격생,학원 비교·성과 광고를 보도가 인용,보도문에 인용된 실제 광고 문구 전사,,risky,45-69,medium,교육 성과 최상급 표현으로 입증 검토 대상이다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB037,public_ad,education,제로백교육,https://www.zero100edu.co.kr/,2026-07-18T17:40:00+09:00,7일 내 100% 환불 보장,교육상품 환불 정책 홍보,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,소비자 환불 보장이지 학습 결과 보장이 아니다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB038,public_ad,education,메가스터디 러셀,https://russelhs.megastudy.net/russel/study_hall/default.asp,2026-07-18T17:40:00+09:00,재원생 수 대비 주요대학 합격률 1위,학습관 성과 비교 문구,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,45-69,high,합격률과 1위 표현이 결합한 교육 입증 검토 대상이다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
