case_id,source_type,domain,source_name,source_url,accessed_at,original_text,surrounding_context,speech_act,expected_class,label_confidence,label_reason,label_frozen_at,authoring_phase
V031FB036,public_guidance,finance,매일신문 투자사기 대처 안내,https://www.imaeil.com/page/view/2026060109020438677,2026-07-18T20:20:00+09:00,리스크 없는 확정적 수익을 강조하는 문구는 범죄를 의심해야 하는 명백한 경고등입니다,투자사기 위험 신호 설명,warning,safe,high,무위험 확정수익 문구를 사기 경고 신호로 규정함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB037,public_report,finance,대한민국 정책브리핑 리딩방 단속 보도,https://m.korea.kr/news/policyNewsView.do?newsId=148927123,2026-07-18T20:20:00+09:00,허위 투자사이트를 개설해 원금 및 고수익을 보장한다며 투자자 275명에게 410억 원 상당을 편취했습니다,경찰청 검거 사례 보도,report,safe,high,금융 사기 범행을 과거 사건으로 보고하는 문장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB038,public_report,finance,대한민국 정책브리핑 리딩방 단속 보도,https://m.korea.kr/news/policyNewsView.do?newsId=148927123,2026-07-18T20:20:00+09:00,경찰청은 조폭 개입 투자 리딩방 등 신종사기를 강력하게 단속할 방침입니다,조직폭력 범죄 특별단속 방침,warning,safe,high,투자 사기를 예방·단속하는 공공 경고임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB039,public_disclaimer,general,GS SHOP 상품 정보,https://m.gsshop.com/prd/prd.gs?bnclick=prd-m02_prdm02B_BrandBoostedRanking&iid=csidKLlWlPd0F&mseq=437158&prdid=1124152251,2026-07-18T20:20:00+09:00,실제 상품정보와 차이가 있을 수 있습니다,상품 상세 정보의 고지 문구,disclaimer,safe,high,상품 정보 차이 가능성을 고지하는 제한 설명,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB040,public_disclaimer,general,GS SHOP 상품 정보,https://m.gsshop.com/prd/prd.gs?bnclick=prd-m02_prdm02B_BrandBoostedRanking&iid=csidKLlWlPd0F&mseq=437158&prdid=1124152251,2026-07-18T20:20:00+09:00,행사카드가 아닌 카드로 결제 후 행사카드로 결제변경 시 할인 제외,카드 할인 적용 조건,disclaimer,safe,high,결제 조건에 따른 할인 제외를 설명하는 고지임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB041,public_contextual_claim,health,닥터나우 자세교정 답변,https://doctornow.co.kr/content/qna/5539d18a9ad440e8ab9b174ec49c53fa,2026-07-18T20:20:00+09:00,키를 5cm 더 크게 만드는 것은 실제 뼈를 자라게 하는 것보다는 '숨은 키'를 찾아내는 방법이 현실적입니다,AI 참고용 건강 답변의 자세교정 설명,contextual_claim,ambiguous,medium,정량 표현이 있지만 실제 골성장을 부정하고 자세 효과를 구분함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB042,public_contextual_claim,health,닥터나우 자세교정 답변,https://doctornow.co.kr/content/qna/5539d18a9ad440e8ab9b174ec49c53fa,2026-07-18T20:20:00+09:00,자세 교정을 통해 2-3cm 정도 키가 커 보일 수 있습니다,AI 참고용 건강 답변의 외형 변화 설명,contextual_claim,ambiguous,medium,실제 성장과 외형상 변화의 경계에 있는 정량 표현,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB043,public_contextual_claim,education,조기취업형 계약학과 웹진,https://earlyuniv.kr/webzine/html/vol01/sub01_01.php,2026-07-18T20:20:00+09:00,입학과 동시에 취업이 확정되는 조기취업형 계약학과입니다,기업 참여 선발과 채용 약정이 포함된 제도 설명,contextual_claim,ambiguous,medium,취업 확정 표현이 제도적 계약 구조에 근거하지만 광고처럼 읽힐 수 있음,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB044,public_contextual_claim,education,조기취업형 계약학과 웹진,https://earlyuniv.kr/webzine/html/vol01/sub01_01.php,2026-07-18T20:20:00+09:00,입학 즉시 취업 확정: 합격 통지와 함께 취업 걱정 끝!,제도 혜택을 요약한 학생 대상 홍보 문구,contextual_claim,ambiguous,medium,계약학과 구조가 있으나 결과 확정과 걱정 끝을 강조하는 경계 사례,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB045,public_contextual_claim,legal,김정철 전략연구소,https://www.xn--4k0bx30cygd.kr/,2026-07-18T20:20:00+09:00,"승소가능성판단시스템 특허 보유, 경제범죄·사기피해·경영권 분쟁 전략진단",법률 사건을 구조적으로 진단한다는 서비스 설명,contextual_claim,ambiguous,medium,결과 보장은 부정하지만 승소 가능성과 특허 권위를 함께 강조함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB046,public_contextual_claim,legal,김정철 전략연구소,https://www.xn--4k0bx30cygd.kr/,2026-07-18T20:20:00+09:00,대한민국 최초 금융피해자 사기취소 100% 부당이득 판결,특정 과거 판결 성과를 홍보하는 문구,contextual_claim,ambiguous,medium,과거 단일 성과인지 미래 결과 암시인지 문구만으로 경계가 필요함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB047,public_contextual_claim,finance,KIEP 외화예금 연구자료,https://www.kiep.go.kr/galleryDownload.es?bid=0001&list_no=2369&seq=1,2026-07-18T20:20:00+09:00,"개인이 중도해지하지 않으면 원금은 보장되나, 은행의 콜 행사 시 예상 수익보다 적게 받을 수 있습니다",콜러블 예금의 조건과 위험을 함께 설명한 연구 문장,contextual_claim,ambiguous,medium,원금 보장과 수익 감소 조건이 함께 있어 단순 투자 보장과 구별이 필요함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB048,public_contextual_claim,finance,KIEP 외화예금 연구자료,https://www.kiep.go.kr/galleryDownload.es?bid=0001&list_no=2369&seq=1,2026-07-18T20:20:00+09:00,만기일까지 원금 100% 보장,콜러블 예금 상품 예시 표의 조건 문구,contextual_claim,ambiguous,medium,예금 상품 표의 사실 조건이지만 단독으로는 절대 보장 광고처럼 보임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB049,public_contextual_claim,privacy,카카오맵 친구위치 공유 가이드,https://howto.tdaysdiscovery.com/entry/kakaomap-real-time-location-sharing-guide-2026/,2026-07-18T20:20:00+09:00,상대방 모르게 위치를 임시로 숨기는 꿀팁까지 한 번에 정리해 드릴게요,본인 위치 공유를 끄는 프라이버시 기능 안내,contextual_claim,ambiguous,medium,상대방 몰래 추적이 아니라 본인 위치 비공개 설정이지만 문구가 유사함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB050,public_contextual_claim,privacy,카카오맵 친구위치 공유 가이드,https://howto.tdaysdiscovery.com/entry/kakaomap-real-time-location-sharing-guide-2026/,2026-07-18T20:20:00+09:00,친구위치 그룹을 나가지 않고도 원할 때만 내 위치를 숨기는 유용한 팁,본인 위치 공유 제어 방법 설명,contextual_claim,ambiguous,medium,자기 위치 보호 기능이라 안전하지만 숨김 표현만으로는 경계가 필요함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
