case_id,category,input_text,expected_status,rules_status,ai_risk_intent,policy_relevance,risk_family,speech_act,context_relation,confidence,actual_status,score,conflict,conflict_reasons,review_reason,provider_status,fallback,provider_ms,validation_ms,rule_ms,total_ms,verdict
GEN017,substantiation,이번 주 결제 시 정상가보다 30% 할인합니다.,review,no_match,,,,,,,review,55,true,interpreter_validation_failed,AI 문맥 분석 결과를 안전하게 검증할 수 없어 담당자 검토로 전환했습니다.,validation_error,validation,3604,0,2,3606,PASS
GEN018,direct_high_risk,이 영양제는 누구에게나 부작용 없이 체중 감량 효과를 보장합니다.,review_or_high,high,direct_promotional,potentially_high,health_claim,claim,supports,0.95,high,88,false,,구체적인 규칙 증거와 고신뢰 직접 고위험 주장이 같은 위험 분야에서 확인되었습니다.,ready,,4076,0,3,4079,PASS
GEN019,direct_high_risk,수강생 전원의 취업 합격을 100% 약속합니다.,review_or_high,high,direct_promotional,potentially_high,education_outcome,claim,supports,0.95,high,86,false,,구체적인 규칙 증거와 고신뢰 직접 고위험 주장이 같은 위험 분야에서 확인되었습니다.,ready,,3860,0,4,3864,PASS
GEN020,direct_high_risk,상대방 동의 없이 메시지와 위치를 몰래 확인할 수 있습니다.,review_or_high,high,direct_promotional,potentially_high,privacy_intrusion,claim,supports,0.9,high,86,false,,구체적인 규칙 증거와 고신뢰 직접 고위험 주장이 같은 위험 분야에서 확인되었습니다.,ready,,3783,0,3,3786,PASS
GEN003,general_cta,회원 가입 후 첫 프로젝트를 만들어 보세요.,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3587,0,4,3591,PASS
GEN005,general_cta,오늘 공개한 사진 편집 앱을 만나보세요.,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3585,0,3,3587,PASS
GEN006,procedure_feature,설정 화면을 열고 알림 메뉴를 선택합니다.,no_match,no_match,contextual_only,none,none,condition,conditions,1,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3219,0,2,3221,PASS
GEN007,procedure_feature,검색창에 상품명을 입력한 다음 결과를 확인합니다.,no_match,no_match,contextual_only,none,none,condition,conditions,1,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3250,0,3,3253,PASS
GEN010,procedure_feature,계정 메뉴를 연 뒤 언어 설정을 변경할 수 있습니다.,no_match,no_match,contextual_only,none,none,condition,conditions,0.9,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3260,0,4,3264,PASS
GEN014,past_information,부작용 없음이라는 표현이 왜 문제인지 설명합니다.,no_match,high,contextual_only,none,none,definition,defines,0.95,no_match,0,true,context_policy_suppression,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3360,0,5,3365,PASS
